POA (UR),Population
"3995, VIC",11596
"3996, VIC",6649
Total,6472415
,
"Dataset: Census of Population and Housing, 2021, TableBuilder",
,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.
,
,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",
