POA (UR),"Postgraduate Degree Level, nfd","Doctoral Degree Level, nfd",Higher Doctorate,"Professional Specialist Qualification, Doctoral Degree Level","Master Degree Level, nfd","Graduate Diploma and Graduate Certificate Level, nfd",Graduate Diploma,Graduate Certificate,"Bachelor Degree Level, nfd","Advanced Diploma and Diploma Level, nfd",Advanced Diploma,Associate Degree,"Diploma Level, nfd",Diploma,"Certificate III & IV Level, nfd",Certificate IV,Certificate III,Year 12,Year 11,Year 10,"Certificate I & II Level, nfd",Certificate II,Certificate I,Year 9,Year 8 or below,Inadequately described,No educational attainment,Not stated,Not applicable,Total
"3639, VIC",0,0,0,0,3,0,0,0,35,0,12,0,0,16,0,13,75,45,41,59,0,0,0,39,27,8,0,37,49,479
"3640, VIC",0,0,0,0,3,0,9,6,85,0,27,8,0,48,0,28,133,105,55,97,0,0,0,61,37,21,3,103,198,1025
"3641, VIC",0,0,0,0,8,3,7,0,60,0,30,0,0,56,0,39,182,100,88,130,0,0,0,85,71,17,0,127,263,1266
"3646, VIC",0,5,0,0,11,0,4,3,66,0,21,0,0,22,0,10,87,55,39,59,0,0,0,23,19,4,0,62,104,601
"3647, VIC",0,0,0,0,8,0,0,0,3,0,0,0,0,3,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,51
"3649, VIC",0,0,0,0,3,0,0,0,42,0,13,0,0,18,0,14,64,51,39,47,0,0,0,27,15,8,0,59,79,478
"3658, VIC",0,16,0,0,85,3,65,18,414,3,150,0,0,295,0,231,951,678,426,614,0,3,0,322,214,85,14,513,1159,6251
"3659, VIC",0,5,0,0,16,0,11,0,95,0,36,0,0,39,0,29,104,78,43,59,0,4,0,36,14,18,0,53,110,748
"3660, VIC",0,12,0,0,106,8,90,21,556,5,201,6,0,334,0,284,1019,858,572,763,0,13,5,462,390,112,30,843,1156,7842
"3662, VIC",0,3,0,0,21,0,10,8,84,0,18,0,0,59,0,72,93,273,53,54,0,0,0,12,0,10,0,73,272,1108
"3663, VIC",0,0,0,0,5,0,0,0,7,0,5,0,0,16,0,3,22,22,13,15,0,0,0,9,3,0,0,25,21,183
"3664, VIC",0,7,0,0,28,0,16,4,117,0,56,0,0,60,0,49,155,127,65,92,0,0,0,47,40,17,14,55,187,1139
"3665, VIC",0,0,0,0,7,0,5,0,34,0,23,0,0,17,0,10,46,40,23,49,0,0,0,11,18,5,0,40,64,397
"3666, VIC",4,26,0,5,98,0,90,14,470,0,192,0,0,212,0,183,621,471,369,452,0,7,0,291,233,74,8,628,696,5142
"3669, VIC",0,6,0,4,24,0,24,7,145,0,77,3,0,59,0,55,176,128,95,144,0,4,0,51,47,32,0,211,197,1475
