POA (UR),"Postgraduate Degree Level, nfd","Doctoral Degree Level, nfd",Higher Doctorate,"Professional Specialist Qualification, Doctoral Degree Level","Master Degree Level, nfd","Graduate Diploma and Graduate Certificate Level, nfd",Graduate Diploma,Graduate Certificate,"Bachelor Degree Level, nfd","Advanced Diploma and Diploma Level, nfd",Advanced Diploma,Associate Degree,"Diploma Level, nfd",Diploma,"Certificate III & IV Level, nfd",Certificate IV,Certificate III,Year 12,Year 11,Year 10,"Certificate I & II Level, nfd",Certificate II,Certificate I,Year 9,Year 8 or below,Inadequately described,No educational attainment,Not stated,Not applicable,Total
"3167, VIC",6,101,0,0,729,27,159,34,1779,0,315,4,0,447,0,190,693,1329,339,471,0,4,0,243,526,197,155,465,1632,9851
"3168, VIC",21,407,16,12,3026,56,214,53,4797,9,452,8,0,1106,0,317,861,4258,428,452,0,4,0,302,564,344,212,2023,1931,21880
"3169, VIC",15,129,3,7,1634,54,189,41,3528,14,572,12,0,960,0,343,1352,3098,704,991,0,4,0,559,1289,386,585,1361,2989,20820
"3170, VIC",9,184,7,11,1266,49,310,83,3441,3,687,14,0,934,0,403,1428,2844,773,955,0,10,0,528,833,378,245,960,3516,19889
"3171, VIC",9,88,3,0,1017,45,148,29,2871,15,445,12,0,1012,0,355,1104,4215,760,1188,0,15,0,802,1527,362,1344,1589,3214,22174
"3172, VIC",14,77,5,6,593,22,260,53,2735,11,690,13,0,1074,3,523,1837,4000,1171,1621,0,15,0,901,1266,412,858,1176,3937,23261
"3173, VIC",19,142,0,21,1301,69,305,69,4320,5,850,24,0,1320,0,617,1886,5300,1210,1697,0,10,5,944,1376,520,864,1240,5896,30018
"3174, VIC",26,164,4,4,1746,63,324,72,4757,25,975,21,0,1928,0,809,2831,6859,1686,2415,0,19,6,1342,2258,733,1321,2771,6521,39693
"3175, VIC",26,157,12,4,2013,77,389,88,5518,43,1389,29,0,2454,0,1144,3977,8105,2068,3244,0,65,23,1753,3248,948,2273,4829,9682,53545
"3177, VIC",0,21,0,0,285,5,71,11,974,12,239,3,0,502,0,288,992,1728,503,768,0,16,5,462,707,181,613,1171,2327,11889
"3178, VIC",35,250,5,16,1592,63,481,102,5440,10,1321,27,0,1812,3,909,3196,4967,1853,1995,0,8,0,995,850,623,211,1176,5623,33571
"3179, VIC",8,38,0,0,299,12,93,17,987,3,214,0,0,304,0,194,569,819,297,371,0,3,0,204,154,123,42,247,1051,6066
"3180, VIC",3,53,0,0,388,15,129,20,1257,0,286,8,0,411,0,202,740,992,426,509,0,0,0,260,173,155,41,295,1276,7645
"3181, VIC",34,294,9,24,1919,60,486,152,6385,9,664,23,0,959,0,438,837,2475,391,425,0,0,0,199,431,296,101,1502,1526,19636
"3182, VIC",32,413,8,25,2373,76,609,150,6165,34,807,11,0,1307,0,592,1333,2678,561,591,0,4,3,234,221,429,52,2054,1672,22438
"3183, VIC",47,279,9,28,1644,72,478,118,4765,3,593,15,0,882,0,389,873,2147,480,449,0,0,0,255,208,296,65,1122,2756,17964
"3184, VIC",25,293,4,25,1465,66,426,109,4393,11,548,18,0,771,0,291,758,1638,427,350,0,4,0,156,138,263,25,989,1979,15153
"3185, VIC",27,222,3,15,1167,28,478,76,3618,5,488,14,0,540,0,253,571,1556,399,381,0,7,0,251,198,227,40,586,2289,13433
"3186, VIC",37,401,3,70,1936,85,658,92,6091,7,1076,14,0,871,0,286,819,2987,957,853,0,0,0,392,290,480,38,1193,3619,23252
"3187, VIC",24,221,10,20,1188,62,412,67,3944,0,696,13,0,631,0,235,659,2091,668,646,4,0,0,366,301,319,55,951,3167,16757
"3188, VIC",27,248,6,21,1374,75,491,133,4350,3,805,9,0,762,0,329,858,2229,713,757,0,4,0,423,392,375,71,881,3268,18587
"3189, VIC",4,45,0,0,384,21,130,27,1223,6,240,4,0,345,0,149,436,800,243,247,0,3,3,158,172,111,58,311,1169,6287
"3190, VIC",17,91,0,4,799,33,281,64,2547,9,474,3,0,640,0,296,792,1449,437,478,0,3,0,251,296,237,61,536,2212,12007
"3191, VIC",16,178,3,9,792,44,326,65,2557,4,534,0,0,462,0,197,511,1365,443,440,0,5,0,200,177,224,15,613,1731,10926
"3192, VIC",31,201,0,10,1431,55,498,101,4532,8,949,20,0,1205,0,609,1774,2976,1042,1178,0,8,0,629,752,486,158,1151,4348,24129
"3193, VIC",35,280,9,21,1281,72,520,93,4680,8,1016,15,0,869,0,319,1092,2540,971,916,0,0,4,458,292,449,20,788,3456,20207
"3194, VIC",23,131,0,6,743,43,345,59,2643,10,573,15,0,708,0,373,997,1732,609,586,0,5,0,290,312,275,67,596,2075,13221
"3195, VIC",42,281,4,20,1879,88,807,206,6740,17,1535,25,0,1885,0,967,3079,4882,1793,1909,0,12,0,999,843,762,155,1455,6975,37364
"3196, VIC",23,178,4,14,1059,47,499,154,4240,12,932,18,0,1537,0,900,2794,3085,1347,1617,0,6,0,835,621,524,91,1480,4839,26876
"3197, VIC",12,61,5,7,388,27,190,58,1643,4,496,7,0,634,0,412,1504,1536,709,788,0,4,0,375,310,266,62,548,1993,12032
"3198, VIC",10,63,0,0,458,17,283,76,1978,14,602,9,0,974,0,661,2135,1922,973,1303,0,10,0,649,435,330,51,1223,3032,17215
"3199, VIC",57,246,7,16,1547,90,974,243,6732,24,2111,26,0,3153,0,2163,6360,6740,3133,3888,0,36,8,1928,1423,1114,167,4174,9767,56127
"3200, VIC",0,5,0,0,48,3,47,13,308,3,127,0,0,229,0,229,721,604,329,556,0,9,0,375,292,79,21,685,1016,5711
"3201, VIC",13,35,0,3,433,15,210,54,1867,14,569,12,0,1232,6,962,2978,2791,1309,1870,0,9,9,876,642,414,104,1339,4218,21976
"3202, VIC",4,8,0,3,168,0,51,12,468,0,77,6,0,151,0,73,191,390,128,128,0,3,0,76,63,77,9,164,576,2826
"3204, VIC",39,457,9,17,2852,124,809,168,7731,9,1247,23,0,1408,0,605,1582,4169,1176,1100,0,3,5,675,677,634,161,1379,6064,33130
"3205, VIC",32,194,8,16,1242,47,301,68,3226,3,424,14,0,516,0,188,481,1283,324,354,0,4,5,158,182,212,62,872,1339,11548
"3206, VIC",20,196,8,31,1069,43,296,43,2560,6,355,0,0,339,0,126,354,1088,353,321,0,0,0,196,295,176,47,431,1690,10043
"3207, VIC",28,241,5,15,1512,68,443,109,4245,7,670,16,0,890,0,362,903,2037,583,582,0,0,6,333,396,347,84,1311,2428,17633
"3211, VIC",4,6,0,0,39,5,14,5,89,0,39,0,0,68,0,43,171,159,73,117,0,3,0,51,47,25,8,130,265,1353
"3212, VIC",5,67,0,4,397,37,237,74,1867,8,554,7,0,1002,23,786,2398,2050,1063,2332,0,7,0,766,556,259,57,984,3720,19272
"3213, VIC",3,16,0,0,106,6,50,13,460,0,155,0,0,220,0,186,653,586,315,344,0,5,0,197,158,79,24,255,916,4753
"3214, VIC",4,25,0,6,391,14,129,29,1140,13,382,4,0,880,0,892,2675,2628,1734,2644,0,39,10,1565,1583,322,547,2536,4301,24500
"3215, VIC",23,86,0,9,671,29,327,105,2595,7,696,10,0,1055,0,877,2480,2535,1206,1555,0,14,6,859,1256,390,232,1454,3508,21994
"3216, VIC",77,644,20,29,2648,138,1165,358,9616,29,2242,36,0,3090,5,2189,6078,6968,3134,3550,4,26,0,1964,1475,1000,162,3165,10325,60123
"3217, VIC",18,126,0,10,770,35,352,111,3279,14,599,14,0,1290,3,924,2203,2331,728,880,0,6,0,444,266,286,33,761,5003,20499
"3218, VIC",15,137,12,7,797,42,367,119,2682,9,536,4,0,722,0,522,1474,1555,667,739,0,9,0,443,366,242,42,695,2757,14942
"3219, VIC",16,80,8,6,523,32,276,60,2057,15,561,5,5,953,0,890,2611,2195,1244,1784,0,18,0,1069,904,300,121,1648,2952,20309
"3220, VIC",37,217,16,60,1060,56,471,126,3621,20,692,13,0,765,0,506,1307,1929,843,763,0,6,3,419,359,266,41,917,2774,17270
"3221, VIC",0,9,0,0,33,3,23,8,150,0,24,0,0,32,0,17,84,83,35,37,0,0,0,25,8,9,0,45,164,801
"3222, VIC",16,93,3,10,405,33,340,89,1940,12,764,4,0,941,4,792,2648,1984,1158,1523,0,15,0,766,504,343,30,948,3218,18576
"3223, VIC",18,55,0,5,278,11,206,30,982,4,457,3,0,471,0,337,1261,879,648,868,0,6,0,434,365,220,37,957,1004,9536
"3224, VIC",13,48,5,4,247,18,223,55,1484,11,554,8,0,772,0,712,2134,1636,986,1206,0,16,0,644,474,265,32,941,2617,15101
"3225, VIC",9,78,5,14,280,12,193,27,1158,3,356,0,0,237,5,120,417,500,319,278,0,0,0,124,86,132,0,445,621,5408
"3226, VIC",29,138,5,11,655,51,494,115,2806,12,803,11,0,941,0,557,1855,1706,934,961,0,8,3,463,260,303,19,1043,3547,17714
"3227, VIC",9,59,0,8,251,15,140,27,1155,7,284,0,0,235,0,125,428,513,261,222,0,0,0,121,72,80,0,382,1045,5459
"3228, VIC",29,212,9,22,1061,68,640,162,4545,19,1038,19,0,1159,0,708,2201,2367,1049,1052,0,3,0,485,320,422,23,1262,5309,24181
"3230, VIC",5,48,0,0,205,4,108,12,685,0,163,0,0,164,0,61,304,275,164,148,0,0,0,76,45,57,4,207,460,3208
"3231, VIC",5,50,0,9,104,14,66,4,390,0,93,0,0,59,0,38,128,144,66,57,0,0,0,26,9,21,0,126,174,1571
"3232, VIC",4,10,0,5,53,3,32,10,253,0,79,0,0,48,0,29,138,180,70,58,0,0,0,21,20,33,3,156,129,1327
"3233, VIC",0,30,0,0,81,10,57,6,323,0,106,0,0,108,0,57,276,244,137,171,0,0,0,74,64,44,3,278,297,2363
"3234, VIC",0,5,0,0,18,0,5,0,40,0,13,0,0,8,0,0,21,35,11,6,0,0,0,8,4,7,0,16,38,237
"3235, VIC",0,8,0,0,25,0,12,4,76,0,35,0,0,23,0,14,45,52,16,22,0,0,0,9,10,6,0,71,94,515
"3236, VIC",0,10,0,0,10,0,0,0,39,0,14,0,0,10,0,8,24,25,6,18,0,0,0,11,4,3,0,33,29,257
"3237, VIC",0,0,0,0,9,0,5,0,30,0,15,0,0,13,0,10,48,16,21,18,0,0,0,16,4,0,0,45,28,276
"3238, VIC",0,7,0,0,7,0,7,0,47,0,10,0,0,16,0,4,30,20,11,9,0,0,0,10,7,10,0,20,36,251
"3239, VIC",0,3,0,0,5,0,4,0,45,0,20,0,0,16,0,14,71,34,21,64,0,0,0,24,20,10,0,60,73,491
"3240, VIC",0,16,0,0,57,0,44,10,286,0,92,0,0,108,0,72,289,235,134,113,0,0,0,66,35,33,0,109,465,2169
"3241, VIC",0,19,0,0,48,3,36,15,306,0,108,5,0,152,0,128,451,268,179,256,0,0,0,153,86,52,10,302,521,3072
"3242, VIC",0,6,0,0,27,3,17,6,137,3,41,0,0,35,0,43,117,103,52,55,0,0,0,26,17,12,0,59,183,942
"3243, VIC",0,4,0,0,9,0,9,6,44,0,23,0,0,14,0,11,59,41,12,34,0,0,0,12,7,3,0,55,60,392
"3249, VIC",0,13,0,0,48,0,50,6,250,0,133,6,0,125,0,160,484,298,260,321,0,4,0,166,95,49,7,273,624,3368
"3250, VIC",9,14,3,3,152,10,119,32,877,9,357,7,0,436,0,537,1678,1398,955,1275,0,9,3,785,731,185,107,894,2176,12756
"3251, VIC",0,0,0,0,11,0,8,3,36,5,17,0,0,19,0,25,80,39,35,67,0,0,0,35,25,6,4,42,80,524
"3254, VIC",0,0,0,0,0,0,5,0,18,0,11,0,0,11,0,17,52,35,20,32,0,0,0,8,8,6,0,39,86,358
"3260, VIC",4,17,0,0,64,7,56,18,384,0,143,0,0,154,0,165,616,507,381,424,0,8,0,295,229,72,7,476,773,4801
"3264, VIC",0,4,0,0,25,0,28,14,165,0,54,3,0,90,0,72,300,231,162,215,0,3,0,126,152,36,15,216,347,2254
"3265, VIC",4,3,0,0,31,4,36,13,236,0,92,0,0,117,0,89,373,258,223,260,0,3,0,137,91,31,0,254,576,2827
"3266, VIC",7,5,0,0,16,3,21,4,176,3,87,0,0,94,0,113,437,312,256,320,0,0,0,196,160,28,6,274,530,3047
"3267, VIC",0,0,0,0,3,0,7,0,10,0,12,0,0,4,0,5,31,30,17,19,0,0,0,12,4,0,0,19,28,214
"3268, VIC",5,0,0,0,31,0,26,0,239,0,84,3,0,89,0,60,331,265,233,268,0,4,0,130,90,38,0,228,422,2552
"3269, VIC",0,0,0,0,16,3,14,0,72,0,25,0,0,20,0,19,97,70,47,48,0,0,0,30,7,11,0,63,131,676
"3270, VIC",0,0,0,0,3,0,3,0,40,0,17,0,0,13,0,9,49,29,21,21,0,0,0,16,9,10,0,16,53,322
"3271, VIC",0,0,0,0,0,0,4,0,7,0,13,0,0,9,0,3,19,26,16,11,0,0,0,4,3,3,0,29,29,188
"3272, VIC",0,0,0,0,23,0,11,3,123,0,52,0,0,64,0,50,200,147,114,174,0,0,0,109,77,25,3,164,296,1641
"3273, VIC",0,0,0,0,0,0,0,0,11,0,4,0,0,7,0,9,21,14,12,18,0,0,0,8,3,3,0,9,15,130
"3274, VIC",0,0,0,0,3,0,0,0,16,0,12,0,0,17,0,8,32,24,14,33,0,0,0,17,15,0,0,21,49,256
"3275, VIC",4,0,0,0,4,0,5,5,28,0,12,0,0,17,0,12,93,48,43,33,0,0,0,13,14,4,0,41,103,490
"3276, VIC",0,0,0,0,5,0,8,0,29,0,16,0,0,17,0,10,65,43,36,42,0,0,0,26,19,14,0,36,65,437
"3277, VIC",0,7,0,5,25,0,21,4,149,0,53,0,0,77,0,65,259,160,137,167,0,0,0,101,55,23,0,133,358,1820
"3278, VIC",0,0,0,0,5,0,0,3,16,0,10,0,0,19,0,24,56,20,22,32,0,0,0,20,9,3,0,25,68,343
"3279, VIC",0,0,0,0,0,0,0,0,29,0,9,0,0,10,0,11,41,39,23,20,0,0,0,17,11,3,0,31,71,300
"3280, VIC",29,136,8,22,754,42,580,163,3621,12,950,17,0,1544,0,1292,3999,3430,2245,2742,0,27,0,1589,1296,490,113,2455,5752,33298
"3281, VIC",5,13,0,0,36,4,23,16,220,3,64,0,0,93,0,80,259,172,126,124,0,0,0,71,35,29,6,61,425,1857
"3282, VIC",0,7,0,0,49,0,38,9,231,6,88,0,0,97,0,109,366,210,171,189,0,3,0,116,76,33,6,181,492,2488
"3283, VIC",0,11,0,0,27,3,26,3,165,0,46,0,0,57,0,41,180,146,112,117,0,0,0,60,40,15,0,94,269,1423
"3284, VIC",5,21,0,3,123,7,80,17,561,5,179,0,0,160,0,103,396,339,224,248,0,3,0,140,111,61,3,384,678,3860
"3285, VIC",5,14,0,0,34,0,25,4,120,0,38,0,0,49,0,46,178,121,80,100,0,0,0,55,35,22,0,105,229,1255
"3286, VIC",0,0,0,0,7,0,5,0,30,0,19,0,0,32,0,27,63,47,51,48,0,0,0,37,31,3,0,37,85,532
"3287, VIC",0,0,0,0,3,0,0,0,49,0,15,0,0,8,0,16,51,43,38,42,0,0,0,29,8,7,0,29,76,418
"3289, VIC",0,3,0,0,9,0,9,0,55,0,29,0,0,35,0,21,99,97,72,75,0,3,0,46,35,12,0,66,142,804
"3292, VIC",0,0,0,0,4,0,8,0,13,0,4,0,0,11,0,5,30,12,27,23,0,0,0,9,0,8,0,25,11,191
"3293, VIC",0,5,0,0,4,0,3,0,37,0,16,0,0,12,0,8,44,32,26,36,0,0,0,6,3,9,0,30,57,336
"3294, VIC",4,0,0,0,22,0,19,0,127,0,54,0,0,48,0,36,104,91,59,77,0,0,0,25,15,12,0,82,177,967
"3300, VIC",6,43,0,4,177,7,160,36,897,0,272,5,0,414,0,406,1409,1020,788,964,0,4,0,569,506,158,23,850,1768,10479
"3301, VIC",0,3,0,0,30,3,24,3,139,0,49,0,0,60,0,38,156,126,93,105,0,0,0,56,19,22,0,90,236,1267
"3302, VIC",0,0,0,0,5,0,8,5,30,0,18,0,0,19,0,15,47,29,23,40,0,0,0,26,9,0,0,22,55,356
"3303, VIC",0,0,0,0,4,0,4,0,19,0,11,0,0,13,0,17,36,25,26,22,0,0,0,19,10,4,0,26,41,282
"3304, VIC",0,0,0,0,13,0,21,9,111,5,65,0,0,84,0,104,375,268,257,308,0,3,0,168,152,35,4,340,466,2786
"3305, VIC",6,23,5,8,143,11,155,39,920,13,348,3,0,535,0,527,1968,1271,1076,1462,4,14,0,806,571,232,37,1093,2082,13344
"3309, VIC",0,0,0,0,0,0,0,0,3,0,5,0,0,3,0,0,23,14,9,18,0,0,0,4,5,0,0,11,27,122
"3310, VIC",0,0,0,0,0,0,5,0,11,0,10,0,0,8,0,13,34,21,22,27,0,0,0,26,13,6,0,27,22,263
"3311, VIC",0,3,0,0,12,0,16,4,113,0,45,0,0,57,0,64,209,171,148,195,0,0,0,126,128,28,10,197,189,1707
"3312, VIC",0,5,0,0,12,0,6,0,75,0,36,0,0,32,0,33,144,98,88,103,0,0,0,40,42,16,0,117,186,1023
"3314, VIC",0,3,0,0,3,0,6,0,55,0,30,0,0,32,0,19,66,50,39,36,0,0,0,25,12,11,0,58,108,569
"3315, VIC",0,4,0,0,17,0,12,0,136,0,55,0,0,63,0,54,229,129,136,182,0,0,0,109,101,25,5,165,254,1686
"3317, VIC",0,0,0,0,0,0,0,5,12,0,7,0,0,7,0,6,27,25,15,17,0,0,0,4,3,7,0,24,29,184
"3318, VIC",0,8,0,0,13,0,11,9,107,0,40,0,0,48,0,43,152,119,99,155,0,0,0,64,61,17,3,120,182,1243
"3319, VIC",0,0,0,0,0,0,5,0,26,0,9,0,0,15,0,10,43,41,36,46,0,0,0,18,14,9,0,84,56,410
"3321, VIC",0,12,0,0,31,0,34,12,238,0,61,0,0,101,0,59,252,161,99,96,0,0,0,51,30,25,0,92,437,1780
"3322, VIC",0,0,0,0,0,0,0,0,13,0,4,0,0,3,0,4,30,19,14,8,0,0,0,12,9,8,0,14,27,176
"3323, VIC",0,0,0,0,0,0,0,0,12,0,0,0,0,6,0,0,20,4,12,8,0,0,0,4,0,0,0,12,12,91
"3324, VIC",0,0,0,0,4,0,3,0,50,0,22,0,0,15,0,19,59,67,39,74,0,0,0,29,33,5,0,57,90,577
"3325, VIC",0,0,0,0,6,0,10,0,45,0,15,0,0,15,0,21,53,32,36,51,0,0,0,32,16,10,0,46,75,456
"3328, VIC",3,3,0,0,31,4,44,19,200,8,65,3,0,106,0,100,366,215,128,170,0,0,0,67,49,32,0,134,551,2308
"3329, VIC",0,0,0,0,7,0,5,0,25,0,12,0,0,19,0,13,58,34,12,20,0,0,0,18,3,6,0,19,64,309
"3330, VIC",0,0,0,0,6,0,0,0,12,0,4,0,0,12,0,10,29,29,10,21,0,0,0,14,7,0,0,23,32,208
"3331, VIC",3,28,0,0,100,10,115,22,594,0,212,9,0,391,0,304,1126,657,394,509,0,9,0,298,162,95,23,421,1745,7202
"3332, VIC",0,7,0,0,12,0,11,4,85,0,29,0,0,59,0,51,206,118,75,79,0,0,0,41,25,13,0,91,272,1181
"3333, VIC",0,8,0,3,14,0,7,0,73,0,29,0,0,51,0,27,119,74,45,87,0,0,0,34,26,25,3,76,151,864
"3334, VIC",0,4,0,0,15,0,0,0,37,0,17,0,0,15,0,26,73,49,40,47,0,0,0,37,15,8,4,74,75,544
"3335, VIC",0,7,0,3,332,15,61,19,853,6,159,6,0,416,0,171,552,741,195,307,0,0,0,164,145,94,64,388,1490,6195
"3336, VIC",7,41,3,3,1030,53,201,46,2887,11,477,13,0,1066,0,423,1192,2207,457,613,0,5,0,298,302,297,118,709,5268,17737
"3337, VIC",10,47,0,5,681,30,352,61,2739,23,876,15,0,1810,3,1501,4858,5215,2331,3485,0,42,6,1772,1456,676,349,2891,9486,40724
"3338, VIC",6,85,0,3,1288,50,341,60,3361,29,810,17,0,1925,0,1095,3495,4251,1703,2555,0,24,5,1267,1060,574,407,2447,10198,37062
"3340, VIC",17,86,0,5,592,36,375,88,2386,18,787,14,0,1305,3,1016,3369,2869,1523,1988,0,13,4,1079,810,410,81,1410,5324,25614
"3341, VIC",0,0,0,0,50,3,29,11,151,3,57,0,0,95,0,71,229,156,106,114,0,0,0,76,44,24,6,119,312,1644
"3342, VIC",0,17,0,0,76,5,82,14,347,0,121,0,0,187,0,148,587,393,253,321,0,3,0,182,132,66,3,269,735,3946
"3345, VIC",0,11,0,0,38,4,26,5,142,0,51,0,0,69,0,50,201,139,53,96,0,3,0,80,33,19,5,90,282,1393
"3350, VIC",78,515,18,78,2777,147,1559,397,9458,38,2162,31,4,2984,6,2348,6586,7314,3620,4402,0,44,6,2500,1815,940,156,3891,12153,66022
"3351, VIC",4,28,0,0,137,8,141,25,763,3,277,6,0,405,0,341,1435,915,570,799,0,12,0,397,236,145,24,630,1807,9106
"3352, VIC",22,74,0,21,444,18,319,74,1753,12,552,6,0,866,0,762,2646,1803,1137,1706,0,10,0,801,485,267,24,1137,3966,18922
"3355, VIC",5,42,0,9,238,17,160,43,1033,4,316,0,0,491,0,425,1586,1316,944,1390,0,17,9,785,673,231,43,1218,2064,13059
"3356, VIC",3,27,0,0,191,7,173,41,1072,7,310,6,0,622,0,656,2105,1682,1004,1657,0,23,0,938,800,227,55,1284,2711,15601
"3357, VIC",3,42,0,5,148,7,127,32,610,0,153,0,0,177,0,113,385,332,182,212,0,0,0,121,81,54,10,173,822,3797
"3358, VIC",3,9,0,0,86,8,37,14,407,0,68,0,0,194,0,147,474,380,152,214,0,0,0,111,53,55,9,114,902,3440
"3360, VIC",0,4,0,0,9,0,13,4,63,0,29,0,0,39,0,21,121,81,57,68,0,0,0,50,37,13,0,68,136,803
"3361, VIC",0,0,0,0,7,0,9,0,48,0,27,0,0,24,0,17,82,67,46,68,0,0,0,46,42,11,4,79,103,695
"3363, VIC",3,22,0,4,87,0,68,10,301,0,146,0,0,161,0,142,475,303,217,326,0,6,0,162,138,51,10,360,596,3598
"3364, VIC",4,19,0,0,58,4,48,16,263,0,82,0,0,93,0,71,298,213,122,176,0,0,0,95,54,42,0,225,398,2272
"3370, VIC",0,14,0,3,52,0,37,3,180,0,59,3,0,74,0,76,218,208,131,182,0,4,0,99,82,39,0,169,262,1900
"3371, VIC",0,5,0,0,10,0,13,0,72,0,26,0,0,35,0,29,161,114,72,122,0,0,0,64,44,15,5,181,115,1090
"3373, VIC",0,11,0,0,34,0,37,4,163,0,79,0,0,128,0,88,329,220,186,302,0,0,0,133,96,31,0,231,360,2453
"3374, VIC",0,0,0,0,13,0,5,3,36,0,19,0,0,17,0,25,68,38,19,20,0,5,0,17,16,8,0,52,55,425
"3375, VIC",0,0,0,0,3,0,7,4,21,0,12,0,0,10,0,3,22,23,27,16,0,0,0,11,10,4,0,14,55,236
"3377, VIC",5,16,0,0,139,12,111,23,660,9,320,4,0,342,8,377,1088,973,678,1412,0,10,0,524,416,116,71,888,1408,9602
"3378, VIC",0,0,0,0,0,0,0,0,16,0,8,0,0,12,0,3,16,11,14,7,0,0,0,0,0,3,0,11,41,140
"3379, VIC",0,0,0,0,5,0,12,3,89,0,40,0,0,31,0,18,83,61,73,64,0,4,0,46,24,12,0,79,112,749
"3380, VIC",0,3,0,0,82,4,60,15,420,5,176,0,0,221,0,270,742,717,459,612,0,6,0,349,283,89,40,709,958,6220
"3381, VIC",0,11,0,0,31,3,28,6,194,0,60,3,0,56,0,54,167,137,84,83,0,0,0,40,22,30,0,186,217,1401
"3384, VIC",0,0,0,0,5,0,8,0,43,0,22,0,0,20,0,27,92,55,45,55,0,5,0,39,23,12,0,66,92,608
"3385, VIC",3,0,0,0,6,0,4,0,44,0,27,0,0,30,0,14,83,49,31,53,0,0,0,31,25,8,0,57,73,541
"3387, VIC",0,0,0,0,0,0,0,0,18,0,16,0,0,13,0,14,35,32,33,39,0,0,0,12,8,12,0,18,45,289
"3388, VIC",0,0,0,0,3,0,6,0,43,0,29,0,0,21,0,15,80,44,43,57,0,0,0,25,18,8,10,74,85,567
"3390, VIC",0,6,0,0,7,0,19,0,67,0,39,0,0,37,0,31,115,79,81,100,0,0,0,61,47,10,4,88,185,957
"3391, VIC",0,0,0,0,0,0,4,0,4,0,10,0,0,0,0,0,22,18,10,31,0,0,0,12,11,6,0,17,26,181
"3392, VIC",0,0,0,0,4,0,12,3,30,0,23,0,0,30,0,16,69,56,63,60,0,0,0,41,26,12,6,79,69,584
"3393, VIC",0,5,0,0,23,0,30,6,155,0,78,0,0,80,0,98,342,231,225,248,0,0,0,139,143,36,12,323,425,2614
"3395, VIC",0,0,0,0,0,0,0,0,15,0,16,0,0,11,0,23,47,40,38,41,0,0,0,18,21,6,0,28,51,350
"3396, VIC",0,0,0,0,10,0,5,0,45,0,14,0,0,30,0,24,77,69,65,78,0,0,0,65,70,13,3,45,92,694
"3400, VIC",6,65,0,4,255,15,184,43,1256,4,439,3,0,653,0,586,1913,1390,1240,1410,0,13,0,808,736,223,43,1088,2763,15134
"3401, VIC",0,12,0,0,52,0,67,24,355,4,195,0,0,218,0,183,668,463,356,366,0,0,0,199,120,79,10,310,901,4596
"3407, VIC",0,0,0,0,0,0,7,6,33,0,10,0,0,23,0,13,50,39,46,33,0,0,0,25,8,8,0,37,74,416
"3409, VIC",0,7,0,0,20,0,27,4,101,0,29,0,0,29,0,34,119,106,79,87,0,0,0,47,24,7,0,104,142,987
"3412, VIC",0,0,0,0,6,0,0,0,20,0,6,0,0,9,0,8,38,23,28,38,0,0,0,11,19,0,0,29,66,295
"3413, VIC",0,0,0,0,0,0,0,0,12,0,6,0,0,17,0,11,14,22,17,23,0,0,0,15,6,0,0,16,26,196
"3414, VIC",4,3,0,0,23,0,13,6,108,0,48,0,0,73,0,61,207,156,144,198,0,0,0,141,99,31,3,153,238,1719
"3415, VIC",0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,5,4,0,4,3,0,0,0,0,0,0,0,4,5,36
"3418, VIC",0,0,0,0,35,0,27,5,222,0,68,3,0,88,0,98,365,263,219,278,0,5,0,178,196,38,56,257,463,2875
"3419, VIC",0,0,0,0,9,0,7,3,72,0,23,0,0,32,0,25,125,76,99,102,0,0,0,49,41,6,0,73,144,891
"3420, VIC",0,0,0,0,0,0,0,0,17,0,11,0,0,8,0,12,41,27,29,25,0,0,0,8,4,5,0,25,74,283
"3423, VIC",0,0,0,0,0,0,0,0,17,0,11,0,0,19,0,19,54,47,40,62,0,0,0,31,38,13,7,58,59,476
"3424, VIC",0,0,0,0,10,0,12,0,56,0,13,0,0,17,0,27,96,90,66,80,0,5,0,30,40,11,0,69,110,750
"3427, VIC",0,11,0,0,189,7,70,30,679,3,158,0,0,332,0,230,694,661,289,358,0,0,0,165,113,93,33,349,1189,5669
"3428, VIC",0,0,0,0,9,3,8,0,47,0,19,0,0,32,0,20,106,94,41,61,0,0,0,31,24,8,9,49,95,668
"3429, VIC",17,134,3,4,907,56,611,175,4066,16,1360,22,0,2096,3,1596,5225,5023,2316,2881,0,29,0,1346,935,739,116,1971,7423,39093
"3430, VIC",0,0,0,0,4,0,0,0,24,0,12,0,0,6,0,8,42,34,17,35,0,0,0,17,10,9,0,38,51,303
"3431, VIC",4,39,0,3,114,8,99,24,525,5,176,0,0,223,0,175,620,455,237,277,0,0,0,161,86,107,0,204,851,4390
"3432, VIC",0,3,0,0,4,0,4,0,23,0,9,0,0,8,0,0,23,19,10,21,0,0,0,12,0,0,0,19,27,185
"3433, VIC",0,6,0,0,3,0,5,0,22,0,12,0,0,7,0,8,26,23,19,15,0,0,0,3,6,4,0,20,39,207
"3434, VIC",4,23,0,0,113,10,105,19,615,0,193,3,0,313,0,251,946,703,383,391,0,0,0,221,150,107,6,331,1248,6143
"3435, VIC",0,17,0,0,69,0,64,16,364,0,128,4,0,155,0,97,440,348,177,229,0,0,0,152,82,39,12,225,617,3228
